price,isOneOwner,mileage,year,displacement,trim
6.988,0,86.627,2001,5.0,5.0
16.926,1,84.908,2006,5.0,5.0
3.995,0,165.599,2000,5.0,5.0
22.995,0,95.154,2007,5.5,7.0
29.995,0,73.705,2007,5.5,7.0
13.983,0,110.105,2005,4.3,4.0
45.998,0,23.119,2010,5.5,7.0
8.05,0,161.574,2002,5.4,6.0
29.9,0,79.088,2008,5.5,7.0
27.994,0,66.585,2007,5.5,7.0
13.985,0,110.984,2005,5.0,5.0
27.48,0,81.287,2007,5.5,7.0
26.78,0,89.897,2007,5.5,7.0
9.995,0,160.362,2004,4.3,4.0
47.99,1,30.987,2010,5.5,7.0
39.995,0,49.531,2010,5.5,7.0
29.877,0,59.185,2007,5.5,7.0
21.0,0,134.5,2007,5.5,7.0
40.0,0,81.0,2008,6.3,9.0
19.988,1,61.686,2006,3.7,1.0
75.877,1,11.998,2013,4.6,7.0
49.995,1,23.594,2012,4.6,7.0
44.999,0,29.603,2011,5.5,7.0
38.99,0,119.809,2007,5.5,7.0
23.495,0,82.534,2007,5.5,7.0
39.995,0,56.77,2011,5.5,7.0
36.995,0,95.212,2009,6.3,9.0
54.995,1,26.331,2013,4.6,7.0
10.145,0,106.982,2005,4.3,4.0
25.992,0,57.985,2007,5.5,7.0
36.888,0,71.586,2007,5.5,7.0
50.987,0,50.585,2011,5.5,7.0
5.995,0,112.598,2000,4.3,4.0
37.994,0,61.336,2011,5.5,7.0
29.999,0,55.796,2008,5.5,7.0
9.995,0,149.12,2002,4.3,4.0
53.995,1,39.536,2012,4.6,7.0
26.677,0,89.312,2009,5.5,7.0
12.995,0,72.21,1995,6.0,8.0
5.8,0,122.26,2000,4.3,4.0
46.9,0,27.273,2010,5.5,7.0
61.991,0,30.016,2013,4.6,7.0
27.879,1,84.935,2007,5.5,7.0
23.995,0,116.732,2007,5.5,7.0
67.998,1,14.441,2013,4.6,7.0
11.995,0,97.217,2003,4.3,4.0
35.871,1,25.731,2007,5.5,7.0
21.994,0,93.62,2007,5.5,7.0
37.452,1,63.184,2010,5.5,7.0
47.988,1,13.589,2010,5.5,7.0
42.98,1,33.79,2010,5.5,7.0
49.3,1,17.803,2012,4.6,7.0
49.995,1,24.016,2011,5.5,7.0
12.995,0,113.892,2004,5.0,5.0
3.199,0,109.372,1995,4.2,3.0
36.999,1,29.695,2011,5.5,7.0
62.9,0,20.923,2012,4.6,7.0
11.795,0,102.336,2003,5.4,6.0
21.788,0,102.415,2007,5.5,7.0
33.888,0,67.98,2008,5.5,7.0
26.995,0,47.952,2007,5.5,7.0
17.999,0,152.001,2007,5.5,7.0
7.185,0,145.181,2001,4.3,4.0
59.75,1,23.757,2012,4.6,7.0
47.99,1,38.694,2010,5.5,7.0
13.995,1,102.215,2006,4.3,4.0
6.995,0,105.015,1995,6.0,8.0
6.9,0,114.03,1998,4.2,3.0
43.995,0,36.858,2008,5.5,7.0
45.996,0,61.337,2011,5.5,7.0
11.995,0,106.144,2006,4.3,4.0
44.995,0,20.275,2012,4.6,7.0
11.991,0,153.957,2002,4.3,4.0
49.995,0,48.059,2013,4.6,7.0
46.777,0,52.37,2011,5.5,7.0
41.94,0,29.396,2007,5.5,8.0
8.8,0,134.161,2002,5.0,5.0
16.995,0,94.844,2006,5.0,5.0
23.0,0,75.677,2006,4.3,4.0
34.0,0,69.937,2010,5.5,7.0
